date,v1,v2,v3,feature1,feature2,feature3
2013/1/1 0:00,-0.199056005,31.4403296,-0.040269014,42497,2798,31.05
2013/1/1 1:00,-0.511333669,31.84927566,0.045282514,41463,2417,30.47
2013/1/1 2:00,-0.966913262,31.78401408,0.04710924,40812,2036,28.92
2013/1/1 3:00,-1.332607883,31.8183957,-0.053229767,40246,1706,27.88
2013/1/1 4:00,-1.447557229,31.2376695,-0.092076669,40088,1427,26.96
2013/1/1 5:00,-1.297098552,31.71982241,0.00581447,40360,1183,27.84
2013/1/1 6:00,-0.992542506,32.02435069,0.085849351,41027,1012,28.79
2013/1/1 7:00,-0.679055951,32.03799836,-0.004636203,41976,908,28.63
2013/1/1 8:00,-0.43836277,32.06462229,-0.123971154,42705,848,28.44
2013/1/1 9:00,-0.264774128,31.52171433,-0.046974122,43503,819,28.3
2013/1/1 10:00,-0.101896155,32.29481597,0.102320884,44766,816,30.65
2013/1/1 11:00,0.108059976,32.54994677,0.033401289,45691,830,31.55
2013/1/1 12:00,0.411457642,32.68168524,-0.11040449,46085,835,32.16
2013/1/1 13:00,0.815281685,32.61741541,-0.030155117,46306,821,32.45
2013/1/1 14:00,1.272872405,32.35548782,0.113261184,46918,822,32.63
2013/1/1 15:00,1.685377366,32.99201081,0.005091057,48161,843,33.65
2013/1/1 16:00,1.926307886,33.24887625,-0.144856967,49542,881,34.9
2013/1/1 17:00,1.890787194,33.52162713,0.004603597,50210,968,36.22
2013/1/1 18:00,1.559733486,33.22212143,0.169422472,49909,1102,36.65
2013/1/1 19:00,1.021267493,33.40902561,-0.008038797,49107,1233,36.37
2013/1/1 20:00,0.433745985,33.79440047,-0.137427489,48101,1332,35.49
2013/1/1 21:00,-0.059222184,33.92811456,0.074243848,47445,1342,34.41
2013/1/1 22:00,-0.421177279,34.26437759,0.11114744,45680,1327,34.66
2013/1/1 23:00,-0.742493733,33.68140628,-0.129318389,44099,1352,32.55
2013/1/2 0:00,-1.135830706,34.16284526,-0.042295354,42602,1350,33.15
2013/1/2 1:00,-1.646544371,34.4371631,0.145205474,41720,1314,32.66
2013/1/2 2:00,-2.16533166,34.57690692,-0.03498326,41519,1339,31.83
2013/1/2 3:00,-2.470757736,34.78680622,-0.135389728,41672,1352,31.47
2013/1/2 4:00,-2.363745782,34.29916195,0.077645143,42621,1347,32.56
2013/1/2 5:00,-1.805954564,34.83428954,0.071122438,44805,1407,34.36
2013/1/2 6:00,-0.940125439,35.09683149,-0.084664238,48444,1464,36.28
2013/1/2 7:00,-0.030731513,35.30732971,0.022302401,52178,1498,38.39
2013/1/2 8:00,0.672725944,35.33858396,0.105978104,53740,1576,39.09
2013/1/2 9:00,1.073323402,34.86749908,-0.030245818,53976,1683,38.33
2013/1/2 10:00,1.253358077,35.29210575,-0.042146558,54480,1815,38.42
2013/1/2 11:00,1.39744361,35.51338497,0.065660465,54787,1925,38.25
2013/1/2 12:00,1.670740868,35.61041016,0.010064036,54592,1979,37.96
2013/1/2 13:00,2.11178485,35.47213261,-0.060025962,54511,2005,37.89
2013/1/2 14:00,2.602216743,35.17493093,0.022046751,54848,2007,37.88
2013/1/2 15:00,2.933856132,35.44410391,0.038529938,55705,1966,38.78
2013/1/2 16:00,2.917793167,35.74404041,-0.056517862,56651,1891,39.83
2013/1/2 17:00,2.490774583,35.84009497,-0.009223041,56935,1821,39.91
2013/1/2 18:00,1.760045756,35.49481911,0.104004841,55997,1774,39.32
2013/1/2 19:00,0.932713221,35.46741982,0.003285786,54835,1734,38.49
2013/1/2 20:00,0.197571709,35.55809425,-0.096236801,53220,1716,37.46
2013/1/2 21:00,-0.37136877,35.74168136,0.050698817,51962,1723,36.94
2013/1/2 22:00,-0.837798891,35.86888878,0.109086633,49776,1781,36.37
2013/1/2 23:00,-1.328282689,35.30928512,-0.068098283,47125,1918,34.59
2013/1/3 0:00,-1.911415887,35.42417694,-0.080447017,45029,2209,33.11
2013/1/3 1:00,-2.522771812,35.47396632,0.085297532,44023,2349,32.22
2013/1/3 2:00,-2.992759285,35.52894514,0.030562809,43600,2530,31.46
2013/1/3 3:00,-3.136239671,35.67332291,-0.108506339,43677,2732,31.67
2013/1/3 4:00,-2.861580159,35.12517701,-0.016085739,44377,2867,32.05
2013/1/3 5:00,-2.221811133,35.36804352,0.092032233,46427,2973,33.67
2013/1/3 6:00,-1.387234723,35.47998719,0.00760315,50150,3113,34.93
